title,release_year,runtime
Toy Story,1995.0,81.0
Jumanji,1995.0,104.0
Grumpier Old Men,1995.0,101.0
Waiting to Exhale,1995.0,127.0
Father of the Bride Part II,1995.0,106.0
Heat,1995.0,170.0
Sabrina,1995.0,127.0
Tom and Huck,1995.0,97.0
Sudden Death,1995.0,106.0
GoldenEye,1995.0,130.0
The American President,1995.0,106.0
Dracula: Dead and Loving It,1995.0,88.0
Balto,1995.0,78.0
Nixon,1995.0,192.0
Cutthroat Island,1995.0,119.0
Casino,1995.0,178.0
Sense and Sensibility,1995.0,136.0
Four Rooms,1995.0,98.0
Ace Ventura: When Nature Calls,1995.0,90.0
Money Train,1995.0,103.0
Get Shorty,1995.0,105.0
Copycat,1995.0,124.0
Assassins,1995.0,132.0
Powder,1995.0,111.0
Leaving Las Vegas,1995.0,112.0
Othello,1995.0,123.0
Now and Then,1995.0,100.0
Persuasion,1995.0,104.0
The City of Lost Children,1995.0,108.0
Shanghai Triad,1995.0,108.0
Dangerous Minds,1995.0,99.0
Twelve Monkeys,1995.0,129.0
Wings of Courage,1996.0,50.0
Babe,1995.0,89.0
Carrington,1995.0,121.0
Dead Man Walking,1995.0,122.0
Across the Sea of Time,1995.0,51.0
It Takes Two,1995.0,101.0
Clueless,1995.0,97.0
"Cry, the Beloved Country",1995.0,106.0
Richard III,1995.0,104.0
Dead Presidents,1995.0,119.0
Restoration,1995.0,117.0
Mortal Kombat,1995.0,101.0
To Die For,1995.0,106.0
How To Make An American Quilt,1995.0,116.0
Se7en,1995.0,127.0
Pocahontas,1995.0,81.0
When Night Is Falling,1995.0,96.0
The Usual Suspects,1995.0,106.0
Guardian Angel,1994.0,93.0
Mighty Aphrodite,1995.0,95.0
Lamerica,1994.0,116.0
The Big Green,1995.0,100.0
Georgia,1995.0,115.0
Kids of the Round Table,1997.0,89.0
Home for the Holidays,1995.0,103.0
The Postman,1994.0,108.0
The Confessional,1995.0,100.0
The Indian in the Cupboard,1995.0,96.0
Eye for an Eye,1996.0,101.0
Mr. Holland's Opus,1995.0,137.0
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996.0,89.0
Two If by Sea,1996.0,96.0
Bio-Dome,1996.0,88.0
Lawnmower Man 2: Beyond Cyberspace,1996.0,92.0
Two Bits,1995.0,85.0
French Twist,1995.0,95.0
Friday,1995.0,91.0
From Dusk Till Dawn,1996.0,108.0
Fair Game,1995.0,91.0
Kicking and Screaming,1995.0,96.0
Les Miserables,1995.0,175.0
Bed of Roses,1996.0,87.0
Big Bully,1996.0,90.0
Screamers,1995.0,108.0
Nico Icon,1995.0,70.0
The Crossing Guard,1995.0,111.0
The Juror,1996.0,118.0
The White Balloon,1995.0,85.0
Things to Do in Denver When You're Dead,1995.0,116.0
Antonia's Line,1995.0,102.0
Once Upon a Time... When We Were Colored,1996.0,115.0
Last Summer in the Hamptons,1995.0,108.0
Angels and Insects,1995.0,118.0
White Squall,1996.0,129.0
Dunston Checks In,1996.0,88.0
Black Sheep,1996.0,87.0
Nick of Time,1995.0,90.0
The Journey of August King,1995.0,91.0
Mary Reilly,1996.0,104.0
Vampire in Brooklyn,1995.0,100.0
Beautiful Girls,1996.0,112.0
Broken Arrow,1996.0,108.0
A Midwinter's Tale,1995.0,99.0
La Haine,1995.0,98.0
Shopping,1994.0,105.0
Heidi Fleiss: Hollywood Madam,1995.0,106.0
City Hall,1996.0,111.0
Bottle Rocket,1996.0,91.0
Mr. Wrong,1996.0,96.0
Unforgettable,1996.0,106.0
Happy Gilmore,1996.0,92.0
The Bridges of Madison County,1995.0,135.0
Nobody Loves Me,1994.0,104.0
Muppet Treasure Island,1996.0,100.0
Catwalk,1995.0,95.0
Headless Body in Topless Bar,1995.0,110.0
Braveheart,1995.0,177.0
Taxi Driver,1976.0,114.0
Rumble in the Bronx,1995.0,91.0
Before and After,1996.0,108.0
Margaret's Museum,1995.0,114.0
Happiness Is in the Field,1995.0,106.0
Anne Frank Remembered,1995.0,117.0
The Young Poisoner's Handbook,1995.0,99.0
If Lucy Fell,1996.0,92.0
Steal Big Steal Little,1995.0,113.0
Race the Sun,1996.0,100.0
The Boys of St. Vincent,1992.0,90.0
Boomerang,1992.0,117.0
Chungking Express,1994.0,102.0
The Star Maker,1995.0,113.0
Flirting with Disaster,1996.0,92.0
The Neverending Story III: Escape from Fantasia,1994.0,95.0
The Silences of the Palace,1994.0,116.0
Jupiter's Wife,1995.0,87.0
Pie in the Sky,1996.0,95.0
Angela,1995.0,99.0
Frankie Starlight,1995.0,101.0
Jade,1995.0,95.0
Nueba Yol,1995.0,102.0
Sonic Outlaws,1995.0,87.0
Down Periscope,1996.0,92.0
From the Journals of Jean Seberg,1995.0,97.0
Man of the Year,1995.0,86.0
The Neon Bible,1995.0,91.0
Target,1995.0,122.0
Up Close & Personal,1996.0,119.0
The Birdcage,1996.0,117.0
Virgin Mary,1995.0,125.0
The Brothers McMullen,1995.0,98.0
Bad Boys,1995.0,118.0
The Amazing Panda Adventure,1995.0,81.0
The Basketball Diaries,1995.0,102.0
An Awfully Big Adventure,1995.0,113.0
Amateur,1994.0,105.0
Apollo 13,1995.0,140.0
Rob Roy,1995.0,139.0
The Addiction,1995.0,82.0
Batman Forever,1995.0,121.0
Belle de Jour,1967.0,101.0
Beyond Rangoon,1995.0,100.0
Blue in the Face,1995.0,83.0
Canadian Bacon,1995.0,91.0
Casper,1995.0,100.0
Clockers,1995.0,128.0
Congo,1995.0,109.0
Crimson Tide,1995.0,116.0
Crumb,1994.0,119.0
Desperado,1995.0,104.0
Devil in a Blue Dress,1995.0,102.0
Die Hard: With a Vengeance,1995.0,128.0
The Doom Generation,1995.0,80.0
Feast of July,1995.0,116.0
First Knight,1995.0,134.0
Free Willy 2 - The Adventure Home,1995.0,95.0
Hackers,1995.0,107.0
Jeffrey,1995.0,92.0
Johnny Mnemonic,1995.0,97.0
Judge Dredd,1995.0,96.0
Jury Duty,1995.0,88.0
Kids,1995.0,91.0
Living in Oblivion,1995.0,89.0
Lord of Illusions,1995.0,119.0
Love & Human Remains,1993.0,100.0
Mad Love,1995.0,95.0
Mallrats,1995.0,94.0
Mighty Morphin Power Rangers: The Movie,1995.0,92.0
Moonlight and Valentino,1995.0,100.0
Mute Witness,1995.0,95.0
Nadja,1994.0,93.0
The Net,1995.0,114.0
Nine Months,1995.0,103.0
Party Girl,1995.0,94.0
The Prophecy,1995.0,98.0
Reckless,1995.0,91.0
Safe,1995.0,119.0
The Scarlet Letter,1995.0,135.0
The Show,1995.0,93.0
Showgirls,1995.0,128.0
Smoke,1995.0,112.0
Something to Talk About,1995.0,106.0
Species,1995.0,108.0
The Stars Fell on Henrietta,1995.0,109.0
Strange Days,1995.0,145.0
The Umbrellas of Cherbourg,1964.0,91.0
The Tie That Binds,1995.0,99.0
Three Wishes,1995.0,115.0
Total Eclipse,1995.0,111.0
"To Wong Foo, Thanks for Everything! Julie Newmar",1995.0,105.0
Under Siege 2: Dark Territory,1995.0,100.0
Unstrung Heroes,1995.0,93.0
Unzipped,1995.0,73.0
A Walk in the Clouds,1995.0,103.0
Waterworld,1995.0,135.0
White Man's Burden,1995.0,89.0
Wild Bill,1995.0,98.0
The Browning Version,1994.0,97.0
Bushwhacked,1995.0,90.0
Burnt by the Sun,1994.0,135.0
Before the Rain,1994.0,113.0
Before Sunrise,1995.0,105.0
Billy Madison,1995.0,89.0
The Babysitter,1995.0,90.0
Boys on the Side,1995.0,115.0
The Cure,1995.0,97.0
Castle Freak,1995.0,95.0
Circle of Friends,1995.0,103.0
Clerks,1994.0,92.0
Don Juan DeMarco,1994.0,97.0
Disclosure,1994.0,123.0
Dream Man,1995.0,0.0
Drop Zone,1994.0,101.0
Destiny Turns on the Radio,1995.0,0.0
Death and the Maiden,1994.0,103.0
Dolores Claiborne,1995.0,132.0
Dumb and Dumber,1994.0,107.0
Eat Drink Man Woman,1994.0,123.0
Exotica,1994.0,103.0
Exit to Eden,1994.0,113.0
Ed Wood,1994.0,127.0
French Kiss,1995.0,111.0
Forget Paris,1995.0,101.0
Far from Home: The Adventures of Yellow Dog,1995.0,87.0
A Goofy Movie,1995.0,78.0
Hideaway,1995.0,103.0
Fluke,1995.0,96.0
Farinelli,1994.0,111.0
Gordy,1995.0,90.0
Gumby: The Movie,1995.0,77.0
The Glass Shield,1994.0,109.0
Hoop Dreams,1994.0,171.0
Heavenly Creatures,1994.0,99.0
Houseguest,1995.0,113.0
Immortal Beloved,1994.0,121.0
Heavyweights,1995.0,100.0
The Hunted,1995.0,106.0
I.Q.,1994.0,100.0
Interview with the Vampire,1994.0,123.0
Jefferson in Paris,1995.0,139.0
The Jerky Boys,1995.0,82.0
Junior,1994.0,109.0
Just Cause,1995.0,102.0
A Kid in King Arthur's Court,1995.0,89.0
Kiss of Death,1995.0,101.0
Star Wars,1977.0,121.0
Little Women,1994.0,115.0
A Little Princess,1995.0,97.0
Ladybird Ladybird,1994.0,101.0
L'Enfer,1994.0,100.0
Like Water for Chocolate,1992.0,105.0
