,production_countries_names,Movie_Count
0,United States of America,21147.0
1,United Kingdom,4091.0
2,France,3939.0
3,Germany,2254.0
4,Italy,2168.0
5,Canada,1765.0
6,Japan,1648.0
7,Spain,964.0
8,Russia,911.0
9,India,827.0
10,Hong Kong,596.0
11,Sweden,588.0
12,Australia,570.0
13,South Korea,495.0
14,Belgium,447.0
15,Denmark,386.0
16,Finland,383.0
17,Netherlands,375.0
18,China,372.0
19,Mexico,329.0
20,Poland,319.0
21,Brazil,291.0
22,Switzerland,254.0
23,Argentina,254.0
24,Ireland,225.0
25,Austria,209.0
26,Czech Republic,209.0
27,Norway,203.0
28,Hungary,175.0
29,Greece,169.0
30,Turkey,165.0
31,Israel,147.0
32,Romania,142.0
33,Taiwan,129.0
34,Portugal,128.0
35,South Africa,125.0
36,New Zealand,123.0
37,Thailand,116.0
38,Serbia,106.0
39,Iran,105.0
40,Luxembourg,90.0
41,Philippines,83.0
42,Croatia,78.0
43,Chile,68.0
44,Iceland,68.0
45,Estonia,59.0
46,Bulgaria,56.0
47,Ukraine,55.0
48,Singapore,41.0
49,Lithuania,36.0
50,Bosnia and Herzegovina,35.0
51,Colombia,34.0
52,Indonesia,33.0
53,Morocco,33.0
54,Slovenia,32.0
55,Georgia,30.0
56,Slovakia,30.0
57,Peru,30.0
58,Latvia,29.0
59,United Arab Emirates,27.0
60,Egypt,25.0
61,Cuba,25.0
62,Kazakhstan,23.0
63,Soviet Union,20.0
64,Venezuela,19.0
65,Pakistan,18.0
66,Uruguay,18.0
67,Tunisia,18.0
68,Macedonia,15.0
69,Lebanon,15.0
70,Qatar,14.0
71,Senegal,14.0
72,Algeria,13.0
73,Puerto Rico,13.0
74,Malaysia,13.0
75,Palestinian Territory,11.0
76,Ecuador,10.0
77,Bolivia,10.0
78,Burkina Faso,10.0
79,Vietnam,10.0
80,Jordan,9.0
81,Cambodia,9.0
82,Belarus,9.0
83,Malta,9.0
84,Armenia,8.0
85,Dominican Republic,8.0
86,Afghanistan,8.0
87,Liechtenstein,8.0
88,Iraq,8.0
89,Montenegro,7.0
90,Panama,7.0
91,Cyprus,7.0
92,Aruba,6.0
93,Kyrgyz Republic,6.0
94,Nigeria,6.0
95,East Germany,6.0
96,Costa Rica,6.0
97,Uzbekistan,6.0
98,Guatemala,6.0
99,Congo,5.0
100,Mauritania,5.0
101,Ethiopia,5.0
102,Albania,5.0
103,Nepal,5.0
104,Syrian Arab Republic,5.0
105,Bahamas,5.0
106,Cameroon,5.0
107,Bhutan,4.0
108,Czechoslovakia,4.0
109,Yugoslavia,4.0
110,Ghana,4.0
111,Jamaica,4.0
112,Rwanda,4.0
113,Monaco,4.0
114,Chad,4.0
115,Kenya,3.0
116,Sri Lanka,3.0
117,North Korea,3.0
118,Lao People's Democratic Republic,3.0
119,El Salvador,3.0
120,Angola,3.0
121,Libyan Arab Jamahiriya,3.0
122,Liberia,3.0
123,Paraguay,3.0
124,Botswana,3.0
125,Namibia,3.0
126,Nicaragua,3.0
127,Tajikistan,3.0
128,Mongolia,3.0
129,Serbia and Montenegro,3.0
130,Zimbabwe,3.0
131,Macao,2.0
132,Papua New Guinea,2.0
133,Bangladesh,2.0
134,Uganda,2.0
135,Saudi Arabia,2.0
136,Tanzania,2.0
137,Mali,2.0
138,Trinidad and Tobago,2.0
139,Cote D'Ivoire,2.0
140,Azerbaijan,2.0
141,Samoa,1.0
142,Moldova,1.0
143,Antarctica,1.0
144,Barbados,1.0
145,Gibraltar,1.0
146,Brunei Darussalam,1.0
147,Honduras,1.0
148,French Southern Territories,1.0
149,Cayman Islands,1.0
150,Bermuda,1.0
151,Myanmar,1.0
152,Netherlands Antilles,1.0
153,French Polynesia,1.0
154,United States Minor Outlying Islands,1.0
155,Madagascar,1.0
156,Somalia,1.0
157,Kuwait,1.0
158,Martinique,1.0
159,Guinea,1.0
