Franchise,Movie_Count,revenue,ganancia_promedio_por_franquicia
The Bowery Boys,29,0.0,12647589.21
Totò Collection,27,0.0,0.0
James Bond Collection,26,7106970239.0,0.0
Zatôichi: The Blind Swordsman,26,0.0,0.0
The Carry On Collection,25,0.0,8635200.56
Pokémon Collection,22,698300796.0,22922775.68
Charlie Chan (Sidney Toler) Collection,21,0.0,822872.67
Godzilla (Showa) Collection,16,0.0,0.0
Uuno Turhapuro,15,0.0,1428663.4
Dragon Ball Z (Movie) Collection,15,112121192.0,0.0
Charlie Chan (Warner Oland) Collection,15,0.0,2082990.53
The Land Before Time Collection,14,84460846.0,10497023.21
Monster High Collection,14,0.0,146604.71
Sharpe Collection,13,0.0,0.0
George Carlin Comedy Collection,13,0.0,0.0
Sherlock Holmes (1939 series),12,0.0,6292164.42
Johan Falk GSI Collection,12,0.0,63349205.83
Friday the 13th Collection,12,464898544.0,19365623.5
The Amityville Horror Collection,12,213347083.0,8051558.25
Il Maresciallo Giraldi Collection,10,0.0,295591.7
Puppet Master Collection,10,0.0,673592.2
An American Girl Collection,10,0.0,446946.0
The Love Comes Softly Collection,10,0.0,0.0
Hellraiser Collection,10,55864723.0,1929414.4
Fantozzi Collection,10,0.0,2913131.1
Tom and Jerry Collection,10,0.0,0.0
Children of the Corn Collection,9,20980986.0,3927621.89
The Hire,9,0.0,6682409.22
The Garden of Sinners,9,0.0,0.0
Ernest Collection,9,51711491.0,40399062.0
The Magick Lantern Cycle,9,0.0,24666.67
Dracula (Hammer Series),9,909413.0,23664547.67
Asterix and Obelix (Animation) Collection,9,0.0,1777777.78
Jesse Stone Collection,9,0.0,35511436.56
The Pink Panther (Original) Collection,9,164478248.0,0.0
Tarzan (Johnny Weissmuller series),8,0.0,0.0
Harry Potter Collection,8,7707367425.0,0.0
The Fast and the Furious Collection,8,5125098793.0,30052683.62
"Signed, Sealed, Delivered",8,0.0,0.0
The Up Series,8,238073.0,0.0
Why We Fight,8,0.0,0.0
A Nightmare on Elm Street Collection,8,363591558.0,10951851.12
Star Wars Collection,8,7434494790.0,4171076.88
Vares Collection,8,0.0,13825509.12
Gamera Films,8,0.0,23813104.88
Jönsson Gang,8,0.0,201877.25
Halloween Collection,8,247168056.0,63006277.38
Police Story Collection,7,123544268.0,0.0
Ju-on Collection,7,0.0,28008523.71
Beethoven Collection,7,265457115.0,189265884.86
The Muppet Collection,7,400124401.0,87145971.57
Cheech & Chong Collection,7,119943461.0,4593578.14
The Bible Collection,7,0.0,0.0
