,Franchise,Movie_Count,revenue,ganancia_promedio_por_franquicia
0,The Bowery Boys,29.0,0.0,12647589.21
1,Totò Collection,27.0,0.0,0.0
2,James Bond Collection,26.0,7106970239.0,0.0
3,Zatôichi: The Blind Swordsman,26.0,0.0,0.0
4,The Carry On Collection,25.0,0.0,8635200.56
5,Pokémon Collection,22.0,698300796.0,22922775.68
6,Charlie Chan (Sidney Toler) Collection,21.0,0.0,822872.67
7,Godzilla (Showa) Collection,16.0,0.0,0.0
8,Uuno Turhapuro,15.0,0.0,1428663.4
9,Dragon Ball Z (Movie) Collection,15.0,112121192.0,0.0
10,Charlie Chan (Warner Oland) Collection,15.0,0.0,2082990.53
11,The Land Before Time Collection,14.0,84460846.0,10497023.21
12,Monster High Collection,14.0,0.0,146604.71
13,Sharpe Collection,13.0,0.0,0.0
14,George Carlin Comedy Collection,13.0,0.0,0.0
15,Sherlock Holmes (1939 series),12.0,0.0,6292164.42
16,Johan Falk GSI Collection,12.0,0.0,63349205.83
17,Friday the 13th Collection,12.0,464898544.0,19365623.5
18,The Amityville Horror Collection,12.0,213347083.0,8051558.25
19,Il Maresciallo Giraldi Collection,10.0,0.0,295591.7
20,Puppet Master Collection,10.0,0.0,673592.2
21,An American Girl Collection,10.0,0.0,446946.0
22,The Love Comes Softly Collection,10.0,0.0,0.0
23,Hellraiser Collection,10.0,55864723.0,1929414.4
24,Fantozzi Collection,10.0,0.0,2913131.1
25,Tom and Jerry Collection,10.0,0.0,0.0
26,Children of the Corn Collection,9.0,20980986.0,3927621.89
27,The Hire,9.0,0.0,6682409.22
28,The Garden of Sinners,9.0,0.0,0.0
29,Ernest Collection,9.0,51711491.0,40399062.0
30,The Magick Lantern Cycle,9.0,0.0,24666.67
31,Dracula (Hammer Series),9.0,909413.0,23664547.67
32,Asterix and Obelix (Animation) Collection,9.0,0.0,1777777.78
33,Jesse Stone Collection,9.0,0.0,35511436.56
34,The Pink Panther (Original) Collection,9.0,164478248.0,0.0
35,Tarzan (Johnny Weissmuller series),8.0,0.0,0.0
36,Harry Potter Collection,8.0,7707367425.0,0.0
37,The Fast and the Furious Collection,8.0,5125098793.0,30052683.62
38,"Signed, Sealed, Delivered",8.0,0.0,0.0
39,The Up Series,8.0,238073.0,0.0
40,Why We Fight,8.0,0.0,0.0
41,A Nightmare on Elm Street Collection,8.0,363591558.0,10951851.12
42,Star Wars Collection,8.0,7434494790.0,4171076.88
43,Vares Collection,8.0,0.0,13825509.12
44,Gamera Films,8.0,0.0,23813104.88
45,Jönsson Gang,8.0,0.0,201877.25
46,Halloween Collection,8.0,247168056.0,63006277.38
47,Police Story Collection,7.0,123544268.0,0.0
48,Ju-on Collection,7.0,0.0,28008523.71
49,Beethoven Collection,7.0,265457115.0,189265884.86
50,The Muppet Collection,7.0,400124401.0,87145971.57
51,Cheech & Chong Collection,7.0,119943461.0,4593578.14
52,The Bible Collection,7.0,0.0,0.0
53,Rocky Collection,7.0,1337126094.0,5102957.86
54,Jackass Collection,7.0,406116832.0,0.0
