country_code,original_language
en,32202.0
fr,2437.0
it,1528.0
ja,1349.0
de,1078.0
es,992.0
ru,822.0
hi,508.0
ko,444.0
zh,408.0
sv,384.0
pt,315.0
cn,313.0
fi,295.0
nl,247.0
da,225.0
pl,218.0
tr,150.0
cs,130.0
el,113.0
no,106.0
hu,100.0
fa,100.0
ta,78.0
th,76.0
he,67.0
sr,63.0
ro,57.0
te,45.0
ar,39.0
ml,36.0
xx,33.0
bn,29.0
hr,29.0
is,24.0
et,24.0
mr,24.0
tl,23.0
id,20.0
ka,18.0
sl,17.0
lv,17.0
uk,16.0
bs,14.0
ca,12.0
vi,10.0
bg,10.0
ab,10.0
sk,9.0
lt,9.0
ur,8.0
nb,6.0
wo,5.0
sh,5.0
sq,5.0
ms,5.0
mk,5.0
eu,3.0
kk,3.0
kn,3.0
ky,3.0
bm,3.0
ku,3.0
ps,2.0
am,2.0
ne,2.0
bo,2.0
lo,2.0
mn,2.0
pa,2.0
iu,2.0
af,2.0
cy,1.0
sm,1.0
hy,1.0
uz,1.0
gl,1.0
lb,1.0
mt,1.0
rw,1.0
fy,1.0
ay,1.0
eo,1.0
tg,1.0
jv,1.0
zu,1.0
qu,1.0
la,1.0
si,1.0
