,Production_Company,Movie_Count,revenue,ganancia_promedio_por_franquicia
0,Warner Bros.,1250.0,63525187272.0,50820149.82
1,Metro-Goldwyn-Mayer (MGM),1076.0,12376790071.0,11502593.0
2,Paramount Pictures,1003.0,48808192922.0,48662206.3
3,Twentieth Century Fox Film Corporation,836.0,47687746332.0,57042758.77
4,Universal Pictures,830.0,55259190410.0,66577337.84
5,Columbia Pictures Corporation,448.0,11349089631.0,25332789.35
6,Canal+,438.0,6214655597.0,14188711.41
7,Columbia Pictures,431.0,32279735705.0,74894978.43
8,RKO Radio Pictures,290.0,1122451525.0,3870522.5
9,United Artists,279.0,5958308805.0,21355945.54
10,New Line Cinema,277.0,22173391499.0,80048344.76
11,Walt Disney Pictures,263.0,40837270159.0,155274791.48
12,Touchstone Pictures,225.0,14121784861.0,62763488.27
13,TriStar Pictures,197.0,8022366764.0,40722673.93
14,Mosfilm,188.0,18643553.0,99167.84
15,Miramax Films,183.0,5783693222.0,31604880.99
16,France 2 Cinéma,168.0,510373210.0,3037935.77
17,Centre National de la Cinématographie (CNC),163.0,207258129.0,1271522.26
18,Toho Company,142.0,1262972662.0,8894173.68
19,BBC Films,131.0,1319820560.0,10074966.11
20,Gaumont,126.0,1128637077.0,8957437.12
21,StudioCanal,123.0,3362753232.0,27339457.17
22,Relativity Media,119.0,14603149665.0,122715543.4
23,TF1 Films Production,117.0,2142447029.0,18311513.07
24,Walt Disney Productions,117.0,2305370464.0,19704021.06
25,British Broadcasting Corporation (BBC),117.0,630028903.0,5384862.42
26,Orion Pictures,111.0,2011680301.0,18123245.95
27,Village Roadshow Pictures,106.0,14904700343.0,140610380.59
28,Regency Enterprises,106.0,8925536872.0,84203178.04
29,Universal International Pictures (UI),98.0,73447473.0,749464.01
30,Lionsgate,97.0,6384194669.0,65816439.89
31,Zweites Deutsches Fernsehen (ZDF),96.0,269894221.0,2811398.14
32,Dimension Films,96.0,3705102866.0,38594821.52
33,DreamWorks SKG,95.0,15475754744.0,162902681.52
34,Wild Bunch,93.0,456504631.0,4908651.95
35,Fox Searchlight Pictures,92.0,3063437841.0,33298237.4
36,Hammer Film Productions,90.0,197121952.0,2190243.91
37,American International Pictures (AIP),88.0,136567000.0,1551897.73
38,Rai Cinema,87.0,142515910.0,1638113.91
39,Working Title Films,86.0,5733215126.0,66665292.16
40,Svensk Filmindustri (SF),86.0,14524709.0,168891.97
41,Channel Four Films,84.0,713773687.0,8497305.8
42,Shaw Brothers,84.0,34639619.0,412376.42
43,Hollywood Pictures,84.0,3013414867.0,35873986.51
44,Film i Väst,81.0,596531164.0,7364582.27
45,Nordisk Film,79.0,253236996.0,3205531.59
46,Film4,79.0,1395054015.0,17658911.58
47,Lions Gate Films,79.0,2079766814.0,26326162.2
48,TLA Releasing,78.0,4214834.0,54036.33
49,Castle Rock Entertainment,78.0,2560215988.0,32823281.9
50,Millennium Films,76.0,1967868139.0,25893001.83
51,CJ Entertainment,76.0,496981067.0,6539224.57
52,Amblin Entertainment,76.0,17343720181.0,228206844.49
53,Shôchiku Eiga,73.0,0.0,0.0
54,Summit Entertainment,72.0,8609052656.0,119570175.78
55,Westdeutscher Rundfunk (WDR),72.0,316939826.0,4401942.03
56,Nikkatsu,72.0,137750.0,1913.19
57,The Rank Organisation,72.0,25833371.0,358796.82
58,HBO Films,71.0,423510647.0,5964938.69
59,First National Pictures,71.0,2500000.0,35211.27
60,New World Pictures,71.0,114927739.0,1618700.55
61,Arte France Cinéma,71.0,118343686.0,1666812.48
62,Home Box Office (HBO),70.0,1101310761.0,15733010.87
63,France 3 Cinéma,70.0,624397857.0,8919969.39
64,Imagine Entertainment,69.0,6158026824.0,89246765.57
65,CinéCinéma,69.0,827640418.0,11994788.67
66,PolyGram Filmed Entertainment,68.0,2286216009.0,33620823.66
67,Eurimages,67.0,185644683.0,2770816.16
68,Warner Bros. Animation,66.0,1310034622.0,19849009.42
69,Ciné+,66.0,1359306925.0,20595559.47
70,Dune Entertainment,65.0,15003789066.0,230827524.09
71,Fox 2000 Pictures,65.0,6875489565.0,105776762.54
72,Monogram Pictures,64.0,0.0,0.0
73,UK Film Council,62.0,1270881498.0,20498088.68
74,EuropaCorp,62.0,2329242751.0,37568431.47
75,BBC,62.0,138346563.0,2231396.18
76,DC Comics,61.0,4625643782.0,75830225.93
77,Fox Film Corporation,59.0,7630121.0,129324.08
78,Focus Features,58.0,2557457196.0,44094089.59
79,Morgan Creek Productions,56.0,1604245628.0,28647243.36
80,New Regency Pictures,55.0,4568021312.0,83054932.95
81,Téléfilm Canada,55.0,201540867.0,3664379.4
82,Hallmark Entertainment,55.0,0.0,0.0
83,Nu Image Films,55.0,973744842.0,17704451.67
84,M6 Films,55.0,1169217252.0,21258495.49
85,Screen Gems,54.0,2837293193.0,52542466.54
86,Canal+ España,54.0,563105311.0,10427876.13
87,The Weinstein Company,54.0,3479192392.0,64429488.74
88,Televisión Española (TVE),53.0,114778167.0,2165625.79
89,Lakeshore Entertainment,53.0,2189502665.0,41311371.04
90,Blumhouse Productions,52.0,2554059073.0,49116520.63
91,Zentropa Entertainments,52.0,117550827.0,2260592.83
92,Pathé,52.0,755369760.0,14526341.54
93,Lenfilm,52.0,0.0,0.0
94,Pixar Animation Studios,52.0,11188533734.0,215164110.27
95,Silver Pictures,52.0,6044112169.0,116232926.33
96,Daiei Studios,51.0,99000.0,1941.18
97,Arte,51.0,219920605.0,4312168.73
98,Fine Line Features,50.0,131255556.0,2625111.12
99,The Asylum,50.0,1500000.0,30000.0
100,Golden Harvest Company,50.0,671198188.0,13423963.76
101,Constantin Film Produktion,50.0,1800342753.0,36006855.06
102,Davis Entertainment,50.0,4360636123.0,87212722.46
103,DreamWorks Animation,49.0,13707515604.0,279745216.41
104,Scott Rudin Productions,48.0,3911905868.0,81498038.92
105,Scott Free Productions,48.0,5042929152.0,105061024.0
106,Toei Animation,48.0,251328265.0,5236005.52
107,Participant Media,47.0,1714088851.0,36469975.55
108,Sveriges Television (SVT),47.0,292398066.0,6221235.45
109,Allied Artists Pictures,47.0,63267000.0,1346106.38
110,Revolution Studios,46.0,3162502930.0,68750063.7
111,"Samuel Goldwyn Company, The",46.0,28962566.0,629621.0
112,Epsilon Motion Pictures,45.0,2314023736.0,51422749.69
113,London Film Productions,44.0,596349.0,13553.39
114,Scope Pictures,44.0,346921850.0,7884587.5
115,Medusa Film,44.0,242341444.0,5507760.09
116,Bavaria Film,43.0,197211786.0,4586320.6
